 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
9.600E-04 1.94E-02 5.22E-05 2.26E-02 1.00E-05 2.03E-04 2.09E-11 2.25E-02 7.18E-11 1.09E-05 3.93E-01 1.34E-01 5.925E-01
9.500E-04 1.97E-02 5.40E-05 2.24E-02 9.82E-06 2.06E-04 2.18E-11 2.27E-02 7.02E-11 1.07E-05 3.90E-01 1.30E-01 5.844E-01
9.400E-04 1.98E-02 5.57E-05 2.20E-02 9.61E-06 2.09E-04 2.27E-11 2.27E-02 6.73E-11 1.07E-05 3.84E-01 1.25E-01 5.730E-01
9.200E-04 2.01E-02 5.95E-05 2.09E-02 9.21E-06 2.16E-04 2.47E-11 2.11E-02 5.60E-11 1.14E-05 3.67E-01 1.13E-01 5.418E-01
8.900E-04 2.06E-02 6.66E-05 1.85E-02 8.62E-06 2.27E-04 2.83E-11 1.67E-02 3.58E-11 1.70E-05 3.34E-01 9.91E-02 4.896E-01
8.700E-04 2.08E-02 7.11E-05 1.67E-02 8.47E-06 2.35E-04 3.09E-11 1.39E-02 2.66E-11 3.90E-05 3.15E-01 9.51E-02 4.615E-01
8.600E-04 2.10E-02 7.40E-05 1.59E-02 8.47E-06 2.40E-04 3.24E-11 1.28E-02 2.35E-11 5.92E-05 3.07E-01 9.46E-02 4.518E-01
8.500E-04 2.11E-02 7.67E-05 1.50E-02 8.45E-06 2.44E-04 3.40E-11 1.18E-02 2.09E-11 4.20E-05 3.00E-01 9.42E-02 4.422E-01
8.400E-04 2.13E-02 8.00E-05 1.40E-02 8.45E-06 2.49E-04 3.56E-11 1.07E-02 1.83E-11 2.98E-05 2.92E-01 9.39E-02 4.324E-01
8.200E-04 2.15E-02 8.53E-05 1.16E-02 8.67E-06 2.58E-04 3.92E-11 8.28E-03 1.32E-11 3.03E-05 2.72E-01 9.40E-02 4.079E-01
8.000E-04 2.18E-02 9.25E-05 9.40E-03 9.58E-06 2.69E-04 4.33E-11 5.66E-03 1.01E-11 4.48E-05 2.51E-01 1.00E-01 3.887E-01
7.900E-04 2.20E-02 9.65E-05 8.53E-03 1.03E-05 2.74E-04 4.55E-11 4.76E-03 1.09E-11 5.61E-05 2.45E-01 1.08E-01 3.888E-01
7.800E-04 2.21E-02 9.99E-05 7.82E-03 1.11E-05 2.79E-04 4.78E-11 3.87E-03 1.24E-11 6.73E-05 2.39E-01 1.16E-01 3.888E-01
7.700E-04 2.22E-02 1.04E-04 7.22E-03 1.21E-05 2.85E-04 5.04E-11 3.18E-03 1.47E-11 7.23E-05 2.34E-01 1.25E-01 3.925E-01
7.600E-04 2.22E-02 1.08E-04 6.70E-03 1.31E-05 2.91E-04 5.31E-11 2.70E-03 1.80E-11 6.71E-05 2.32E-01 1.36E-01 3.997E-01
7.500E-04 2.23E-02 1.12E-04 6.24E-03 1.42E-05 2.97E-04 5.59E-11 2.27E-03 2.19E-11 5.52E-05 2.30E-01 1.47E-01 4.083E-01
7.300E-04 2.26E-02 1.23E-04 5.52E-03 1.68E-05 3.10E-04 6.23E-11 1.90E-03 3.12E-11 3.38E-05 2.32E-01 1.70E-01 4.325E-01
7.200E-04 2.26E-02 1.28E-04 5.30E-03 1.82E-05 3.17E-04 6.58E-11 1.84E-03 3.61E-11 2.79E-05 2.33E-01 1.80E-01 4.435E-01
7.100E-04 2.27E-02 1.34E-04 5.15E-03 1.98E-05 3.24E-04 6.96E-11 1.78E-03 4.15E-11 2.72E-05 2.35E-01 1.91E-01 4.558E-01
7.000E-04 2.29E-02 1.41E-04 5.02E-03 2.13E-05 3.31E-04 7.36E-11 1.77E-03 4.70E-11 3.83E-05 2.38E-01 2.00E-01 4.680E-01
6.900E-04 2.30E-02 1.46E-04 4.82E-03 2.29E-05 3.39E-04 7.80E-11 1.76E-03 5.29E-11 2.18E-05 2.39E-01 2.08E-01 4.779E-01
